Age_Stratified,DiseaseType,RACE,weighted_n_patients,Mean_MRI,MRI_Lower_CI,MRI_Upper_CI,Mean_CT,CT_Lower_CI,CT_Upper_CI,MRI_p-value,CT_p-value
1,Hemorrhagi,White,105.0001567,0.904761982,0.802485859,1.007038105,0.380953094,0.269068256,0.492837933,9.44418E-13,1.84888E-19
1,Hemorrhagi,Black,55.0000153,0.27272725,0.151219435,0.394235064,1.090909066,1.012476116,1.169342015,9.44418E-13,1.84888E-19
1,Ischemic,White,419.9996264,0.750000572,0.698939533,0.801061611,0.499999366,0.445556643,0.55444209,0.000455127,4.1463E-07
1,Ischemic,Black,260.0000518,0.903846227,0.83488173,0.972810725,0.288461495,0.228056672,0.348866319,0.000455127,4.1463E-07
2,Hemorrhagi,White,85.0001077,0.76470594,0.60631838,0.923093501,0.764705915,0.646344552,0.883067277,0.419951537,0.031226022
2,Hemorrhagi,Black,45.0000378,0.666666807,0.52344095,0.809892663,0.55555536,0.404582028,0.706528692,0.419951537,0.031226022
2,Ischemic,White,500.0000775,0.810000238,0.767463182,0.852537295,0.539999699,0.491155877,0.588843521,0.279576126,0.251014372
2,Ischemic,Black,265.0003027,0.77358513,0.722868786,0.824301473,0.49056533,0.421439788,0.559690872,0.279576126,0.251014372
3,Hemorrhagi,White,165.0001341,0.666666758,0.584668579,0.748664936,0.696969814,0.586403517,0.807536112,0.411217545,0.023434373
3,Hemorrhagi,Black,54.9999614,0.727273332,0.605765535,0.848781129,0.454545084,0.275690307,0.633399862,0.411217545,0.023434373
3,Ischemic,White,614.9988503,0.796749137,0.761799976,0.831698298,0.512194197,0.464399844,0.559988551,0.002767126,0.273093268
3,Ischemic,Black,320.000302,0.703125373,0.652797763,0.753452983,0.468749588,0.407267481,0.530231694,0.002767126,0.273093268
4,Hemorrhagi,White,90.0000071,0.944444217,0.834056519,1.054831914,0.444444655,0.339787072,0.549102238,0.057379405,2.38676E-17
4,Hemorrhagi,Black,15.0000091,0.666666869,0.396449291,0.936884447,1,1,1,0.057379405,2.38676E-17
4,Ischemic,White,744.9987613,0.805370051,0.774531123,0.83620898,0.523489047,0.481312169,0.565665925,0.000873623,0.001722287
4,Ischemic,Black,224.9997395,0.68889064,0.627935712,0.749845568,0.399998682,0.335495295,0.46450207,0.000873623,0.001722287
5,Hemorrhagi,White,90.0001267,0.500000361,0.373434035,0.626566686,0.722221598,0.627884532,0.816558664,0.024005093,0.579564146
5,Hemorrhagi,Black,30.0000182,0.833335424,0.572350556,1.094320293,0.666666202,0.487631662,0.845700743,0.024005093,0.579564146
5,Ischemic,White,804.9997615,0.832298572,0.802181572,0.862415572,0.465837166,0.425722124,0.505952207,0.126810478,0.001798266
5,Ischemic,Black,285.0002789,0.877193453,0.827929177,0.92645773,0.350876712,0.290994562,0.410758861,0.126810478,0.001798266
6,Hemorrhagi,White,85.0000201,0.705882472,0.582138259,0.829626685,0.705882491,0.607018874,0.804746107,0.000970383,0.139880089
6,Hemorrhagi,Black,30.0000045,0.33333348,0.154298936,0.512368024,0.833333358,0.691794148,0.974872569,0.000970383,0.139880089
6,Ischemic,White,674.9999371,0.800000072,0.764585871,0.835414272,0.503703291,0.458724287,0.548682296,0.070823917,0.0406856
6,Ischemic,Black,249.9999409,0.740000746,0.685252952,0.79474854,0.419999821,0.353531011,0.486468632,0.070823917,0.0406856
7,Hemorrhagi,White,179.9998844,0.555555955,0.467303969,0.64380794,0.805555603,0.714772236,0.896338971,0.655680159,0.779252288
7,Hemorrhagi,Black,20.0000007,0.499999723,0.259913403,0.740086042,0.750000269,0.351862193,1.148138345,0.655680159,0.779252288
7,Ischemic,White,909.9965227,0.857142105,0.826516402,0.887767808,0.445056543,0.408643314,0.481469772,0.582941451,0.000107651
7,Ischemic,Black,214.999918,0.837209494,0.772685854,0.901733135,0.302324887,0.24044238,0.364207395,0.582941451,0.000107651
8,Hemorrhagi,White,145.0000917,0.620690067,0.51114177,0.730238364,0.586206696,0.505082755,0.667330638,0.879998272,0.608140995
8,Hemorrhagi,Black,55.0000667,0.636364216,0.460982781,0.81174565,0.545454264,0.409604455,0.681304073,0.879998272,0.608140995
8,Ischemic,White,1019.999947,0.867647256,0.835605202,0.899689311,0.450979686,0.415879867,0.486079504,1.25064E-05,0.495626701
8,Ischemic,Black,229.9999504,0.717393352,0.658765827,0.776020876,0.478258753,0.407778209,0.548739297,1.25064E-05,0.495626701
9,Hemorrhagi,White,179.9999378,0.583333153,0.502735785,0.663930521,0.611111268,0.531246152,0.690976385,0.878331031,0.918603089
9,Hemorrhagi,Black,25.0000053,0.599999849,0.393610005,0.806389693,0.600000345,0.393610543,0.806390146,0.878331031,0.918603089
9,Ischemic,White,1079.999444,0.791667293,0.763035543,0.820299043,0.513887958,0.477544205,0.550231712,0.100453455,0.064426969
9,Ischemic,Black,140.0006007,0.714287059,0.626262146,0.802311973,0.42856969,0.345578934,0.511560445,0.100453455,0.064426969
10,Hemorrhagi,White,279.9999295,0.517857043,0.444019876,0.59169421,0.732142883,0.679953329,0.784332436,0.41580786,0.963297221
10,Hemorrhagi,Black,55.0000869,0.454545224,0.318695454,0.590394994,0.727272778,0.522744856,0.931800701,0.41580786,0.963297221
10,Ischemic,White,2314.997596,0.78185805,0.761193919,0.802522182,0.56587374,0.542536235,0.589211246,0.705615726,2.80796E-08
10,Ischemic,Black,240.0004299,0.770833819,0.717277691,0.824389946,0.374999538,0.313310349,0.436688726,0.705615726,2.80796E-08
