Age_Stratified,DiseaseType,FEMALE,weighted_n_patients,Mean_MRI,MRI_Lower_CI,MRI_Upper_CI,Mean_CT,CT_Lower_CI,CT_Upper_CI,MRI_p-value,CT_p-value
1,Hemorrhagi,0,145.0001423,0.793103424,0.692777971,0.893428877,0.482758695,0.40045042,0.56506697,0.263123864,0.000349233
1,Hemorrhagi,1,120.0001092,0.70833357,0.597436197,0.819230942,0.750000484,0.629939385,0.870061583,0.263123864,0.000349233
1,Ischemic,0,484.9997548,0.804123466,0.76037092,0.847876013,0.41237132,0.36147131,0.463271329,0.008467534,0.016469408
1,Ischemic,1,424.9996105,0.894118527,0.843346084,0.94489097,0.329410985,0.284546356,0.374275614,0.008467534,0.016469408
2,Hemorrhagi,0,100.0000786,0.749999969,0.625861291,0.874138646,0.699999941,0.588966879,0.811033003,0.012981053,0.003786882
2,Hemorrhagi,1,105.000076,0.523809913,0.394837795,0.652782032,0.904761771,0.821940901,0.987582641,0.012981053,0.003786882
2,Ischemic,0,600.0003805,0.81666698,0.779339359,0.8539946,0.524999421,0.479888144,0.570110697,0.474607834,0.066677808
2,Ischemic,1,370.0000984,0.837838094,0.793226638,0.88244955,0.459459246,0.40573992,0.513178573,0.474607834,0.066677808
3,Hemorrhagi,0,145.0000723,0.62068972,0.52981269,0.711566751,0.655172464,0.538494163,0.771850764,0.10214931,0.9999969
3,Hemorrhagi,1,144.9999336,0.724138833,0.638752554,0.809525112,0.65517215,0.546808103,0.763536197,0.10214931,0.9999969
3,Ischemic,0,614.9991611,0.772358095,0.736183103,0.808533087,0.512194178,0.465480524,0.558907831,0.141495411,0.368525223
3,Ischemic,1,479.9999762,0.812500792,0.77295584,0.852045743,0.47916624,0.424219333,0.534113148,0.141495411,0.368525223
4,Hemorrhagi,0,44.9999584,0.77777795,0.586810074,0.968745827,0.55555556,0.404582092,0.706529029,0.550770659,0.400307215
4,Hemorrhagi,1,95.0000344,0.842105359,0.742149869,0.94206085,0.631579042,0.532792671,0.730365412,0.550770659,0.400307215
4,Ischemic,0,739.9989413,0.777028011,0.745818249,0.808237773,0.472972043,0.431464624,0.514479463,0.699338563,0.009586667
4,Ischemic,1,399.9995949,0.787500876,0.744337067,0.830664685,0.562499382,0.508944885,0.61605388,0.699338563,0.009586667
5,Hemorrhagi,0,75.0000809,0.666666816,0.504710994,0.828622637,0.733333505,0.630903618,0.835763392,0.047108706,0.240458883
5,Hemorrhagi,1,85.0000776,0.470589148,0.362289494,0.578888802,0.647057829,0.543368749,0.750746909,0.047108706,0.240458883
5,Ischemic,0,785.0006141,0.834395142,0.80603368,0.862756604,0.484075698,0.444036148,0.524115249,0.875360626,0.001376612
5,Ischemic,1,494.9993296,0.838384767,0.797271451,0.879498084,0.383836702,0.337318988,0.430354417,0.875360626,0.001376612
6,Hemorrhagi,0,54.9999511,0.727272387,0.559052208,0.895492565,0.818181657,0.712952698,0.923410615,0.024197966,0.177551645
6,Hemorrhagi,1,90.0000122,0.5000001,0.394690447,0.605309753,0.722222324,0.627885272,0.816559377,0.024197966,0.177551645
6,Ischemic,0,604.9997878,0.760331006,0.721856686,0.798805326,0.504131769,0.455808689,0.552454849,0.05572228,0.345992354
6,Ischemic,1,530.0001844,0.81132065,0.775903573,0.846737726,0.471697845,0.424465966,0.518929724,0.05572228,0.345992354
7,Hemorrhagi,0,119.9999132,0.541667093,0.43714232,0.646191867,0.791666607,0.687141813,0.896191401,0.568371863,0.466614837
7,Hemorrhagi,1,129.999995,0.500000051,0.400397735,0.599602366,0.846154036,0.741497072,0.950810999,0.568371863,0.466614837
7,Ischemic,0,709.9964218,0.838027205,0.80342366,0.872630749,0.443663741,0.40213313,0.485194351,0.318875739,0.0442366
7,Ischemic,1,625.0000824,0.863999856,0.826338649,0.901661062,0.3840002,0.343261544,0.424738857,0.318875739,0.0442366
8,Hemorrhagi,0,115.0000246,0.739130751,0.614160028,0.864101475,0.521739128,0.429058398,0.614419857,0.0648379,0.000677833
8,Hemorrhagi,1,105.0001584,0.571429298,0.443123737,0.699734859,0.761904284,0.659628028,0.86418054,0.0648379,0.000677833
8,Ischemic,0,730.0004062,0.849314924,0.810931303,0.887698544,0.452054257,0.412062974,0.492045539,0.713931824,0.611993967
8,Ischemic,1,684.9996198,0.839417125,0.802870224,0.875964026,0.467152127,0.424557082,0.509747172,0.713931824,0.611993967
9,Hemorrhagi,0,109.9999388,0.636363572,0.545042763,0.727684381,0.681818396,0.561940444,0.801696348,0.041665618,0.593482425
9,Hemorrhagi,1,140.0000179,0.499999827,0.40492173,0.595077923,0.642857261,0.562501601,0.72321292,0.041665618,0.593482425
9,Ischemic,0,679.999764,0.757353491,0.72024042,0.794466562,0.558822884,0.514277813,0.603367955,0.121674281,0.008565045
9,Ischemic,1,715.0001388,0.797203375,0.762928225,0.831478525,0.475523324,0.432223116,0.518823533,0.121674281,0.008565045
10,Hemorrhagi,0,114.9999981,0.565217133,0.458198637,0.672235629,0.739130505,0.640993373,0.837267637,0.160419387,0.919870321
10,Hemorrhagi,1,255.000056,0.470588324,0.391853425,0.549323223,0.745097974,0.681085726,0.809110222,0.160419387,0.919870321
10,Ischemic,0,1109.998982,0.788288643,0.758948884,0.817628402,0.52702636,0.49225065,0.561802069,0.850362193,0.0415236
10,Ischemic,1,1764.998895,0.784703152,0.761702456,0.807703847,0.572237073,0.546120884,0.598353262,0.850362193,0.0415236
